"id","feature_name_id","tag_id","checkout_count","denial_count","min_duration","max_duration","mean_duration","median_duration","stddev_duration","ckout_count","user_count","host_count"
19948,162,22,1,0,0,0,0,0,0,0,0,0
5086,81,160,0,0,0,0,0,0,0,0,0,0
5299,81,161,0,0,0,0,0,0,0,0,0,0
20563,163,482,0,0,0,0,0,0,0,0,0,0
17867,164,19,0,0,0,0,0,0,0,0,0,0
6373,83,22,0,0,0,0,0,0,0,0,0,0
2119,165,109,0,8,0,0,0,0,0,0,0,0
2117,166,109,0,8,0,0,0,0,0,0,0,0
2113,167,109,1,7,0,0,0,0,0,0,0,0
2114,168,109,0,8,0,0,0,0,0,0,0,0
2120,169,109,0,8,0,0,0,0,0,0,0,0
8525,170,65,0,0,0,0,0,0,0,0,0,0
18671,171,44,0,0,0,0,0,0,0,0,0,0
24330,172,140,0,0,0,0,0,0,0,0,0,0
17939,173,449,0,0,0,0,0,0,0,0,0,0
1279,174,38,0,0,0,0,0,0,0,0,0,0
18862,175,8,3,0,0,0,0,0,0,0,0,0
19315,176,455,1,0,0,0,0,0,0,0,0,0
24610,177,64,0,0,0,0,0,0,0,0,0,0
17935,178,449,0,0,0,0,0,0,0,0,0,0
5585,179,162,0,0,0,0,0,0,0,0,0,0
2578,180,48,0,0,0,0,0,0,0,0,0,0
7808,181,36,0,1,0,0,0,0,0,0,0,0
18035,182,454,0,0,0,0,0,0,0,0,0,0
20381,183,483,0,0,0,0,0,0,0,0,0,0
19986,184,485,0,0,0,0,0,0,0,0,0,0
20266,185,506,0,0,0,0,0,0,0,0,0,0
9520,186,128,0,0,0,0,0,0,0,0,0,0
20875,187,21,0,0,0,0,0,0,0,0,0,0
20385,188,171,0,0,0,0,0,0,0,0,0,0
19579,189,493,0,0,0,0,0,0,0,0,0,0
2240,190,79,0,0,0,0,0,0,0,0,0,0
21948,191,140,0,0,0,0,0,0,0,0,0,0
17983,192,451,0,0,0,0,0,0,0,0,0,0
23540,193,599,0,0,0,0,0,0,0,0,0,0
17963,194,451,0,0,0,0,0,0,0,0,0,0
17865,195,14,0,0,0,0,0,0,0,0,0,0
20825,196,512,0,0,0,0,0,0,0,0,0,0
17929,197,447,0,0,0,0,0,0,0,0,0,0
18889,198,481,0,0,0,0,0,0,0,0,0,0
1259,199,3,0,0,0,0,0,0,0,0,0,0
12839,200,317,0,0,0,0,0,0,0,0,0,0
18013,201,22,0,0,0,0,0,0,0,0,0,0
18014,202,22,0,0,0,0,0,0,0,0,0,0
18017,203,22,0,0,0,0,0,0,0,0,0,0
18018,204,22,0,0,0,0,0,0,0,0,0,0
17930,205,448,0,0,0,0,0,0,0,0,0,0
24292,206,601,0,0,0,0,0,0,0,0,0,0
20174,207,506,0,0,0,0,0,0,0,0,0,0
24177,208,601,0,0,0,0,0,0,0,0,0,0
17965,209,451,0,0,0,0,0,0,0,0,0,0
23902,210,574,0,0,0,0,0,0,0,0,0,0
18015,211,22,0,0,0,0,0,0,0,0,0,0
2060,212,108,0,0,0,0,0,0,0,0,0,0
2176,213,19,0,1,0,0,0,0,0,0,0,0
2177,214,19,0,1,0,0,0,0,0,0,0,0
17955,159,451,0,0,0,0,0,0,0,0,0,0
17915,215,93,0,0,0,0,0,0,0,0,0,0
17959,216,451,0,0,0,0,0,0,0,0,0,0
17961,217,451,0,0,0,0,0,0,0,0,0,0
17871,218,93,0,0,0,0,0,0,0,0,0,0
17984,219,451,0,0,0,0,0,0,0,0,0,0
17874,220,45,0,0,0,0,0,0,0,0,0,0
2082,221,19,0,1,0,0,0,0,0,0,0,0
19949,222,22,0,0,0,0,0,0,0,0,0,0
19281,223,13,0,0,0,0,0,0,0,0,0,0
1543,224,12,12,0,2813,2813,2813,2813,0,1,1,1
1273,225,20,1,0,0,0,0,0,0,0,0,0
20395,226,491,0,0,0,0,0,0,0,0,0,0
2175,227,19,2,28,0,0,0,0,0,0,0,0
21946,228,140,0,0,0,0,0,0,0,0,0,0
1261,229,3,0,0,0,0,0,0,0,0,0,0
1264,230,3,0,0,0,0,0,0,0,0,0,0
1265,231,3,0,0,0,0,0,0,0,0,0,0
1267,232,3,0,0,0,0,0,0,0,0,0,0
1268,233,3,0,0,0,0,0,0,0,0,0,0
1269,234,3,0,0,0,0,0,0,0,0,0,0
1270,235,3,0,0,0,0,0,0,0,0,0,0
1271,236,3,0,0,0,0,0,0,0,0,0,0
1272,237,3,0,0,0,0,0,0,0,0,0,0
20368,238,29,0,0,0,0,0,0,0,0,0,0
18100,239,3,1,0,0,0,0,0,0,0,0,0
